query,rank,doc_text
"According to randomized trials, does early mobilisation reduce length of stay after spinal surgery?",1,"Retrospective cohort study. The objective of this study was to explore the impact of different hospital-based ambulation protocols on mobility and surgical outcomes after lumbar fusion surgery. Previous research has highlighted the value of early ambulation after surgery; still some hospitals choose to adopt a more conservative ambulation approach due to concern for patient safety. Adult patients ≥18 years of age who underwent primary posterior lumbar decompression and fusion (PLDF) surgery at a hospital with restricted ambulation and a hospital with a liberal ambulation protocol within the same health system from 2021 to 2022 were identified and matched based on patient demographic characteristics. Surgical outcomes included inpatient complications, length of stay, readmissions, reoperations, and discharge disposition. Mobility outcomes included Activity Measure for Post-Acute Care (AM-PAC) daily activity score, post-therapy session pain rating, and gait trial distance from the first inpatient physical therapy session. Patients within the liberal ambulation protocol cohort had shorter hospital stays ( P <0.001) and were less likely to require reoperation within 1 year of surgery ( P =0.013). Patients within the restricted ambulation protocol were more likely to experience a complication ( P =0.005) and were less likely to be discharged home after surgery ( P =0.020). Patients at the liberal ambulation hospital had higher AM-PAC basic mobility scores ( P <0.001) and achieved further gait distances ( P <0.001). On multivariable regression analysis, a further gait distance at the first inpatient PT session was a significant predictor of decreased odds of inpatient complications ( P =0.010), decreased length of stay ( P =0.005), and increased odds of discharge to home ( P <0.001). Liberal ambulation protocols are safe and effective postoperative management strategies after PLDF to decrease inpatient complications, length of stay and discharge to a rehabilitation facility. These findings highlight the role that such protocols can play in helping patients to achieve early mobilization and favorable short-term outcomes."
"According to randomized trials, does early mobilisation reduce length of stay after spinal surgery?",2,"Retrospective cohort study. The purpose of this study was to investigate how inpatient physical therapy variables impact (1) inpatient complications, (2) 90-day readmissions, (3) 1-year reoperation rates, and (4) length of stay after posterior lumbar decompression and fusion. Previous studies have emphasized the role of early ambulation in postoperative spine patients as an effective method for improving pain and decreasing length of stay, but few studies have evaluated the efficacy of inpatient physical therapy. Patients 18 years of age or older who underwent primary 1-level or 2-level posterior lumbar decompression and fusion from 2019 to 2020 were retrospectively identified. Physical therapy data, including time to first inpatient PT session, gait trial distance achieved, post-treatment pain rating, and Activity Measure for Post-Acute Care (Activity Measure for Post-Acute Care [AM-PAC]) scores were collected using manual chart review. Surgical outcome variables included length of stay, inpatient complications, 90-day readmissions, and reoperations within 1 year of primary surgery. Overall, 425 patients were identified. There was no difference in hours to PT or total gait trial distance achieved between patients who experienced a complication and those that did not. Patients in the noncomplication group had higher AM-PAC scores than patients in the complication group. There was no difference with regards to time to PT, AM-PAC score, or gait trial distance achieved between readmitted patients and nonreadmitted patients or revision patients and nonrevision patients. Stepwise logistic regression showed that having a physical therapy session within 6 hours of surgery was predictive of a decreased length of stay both in all patients. While inpatient physical therapy within 6 hours of surgery does not appear to impact readmissions, complications, or reoperations, surgeons should encourage early ambulation postoperatively to decrease extended hospital stays. Future investigation should seek to identify factors that delay inpatient PT in the 6 hours after surgery."
"According to randomized trials, does early mobilisation reduce length of stay after spinal surgery?",3,"After spinal surgery, early mobilisation programmes are playing an increasing role in managing pain symptoms, reducing length of hospital stay and preventing complications. The aim of the study is to investigate what are the prognostic factors of early ambulation after spinal arthrodesis surgery. A retrospective cohort study was carried. Patients who underwent vertebral arthrodesis surgery with at least one fixed level of instrumental fixation were included consecutively. The primary outcome was represented by the precocity of ambulation. The variables collected were divided in anamnestic data and surgical/post-surgical variables. Data were collected by consulting the computerised medical records. A total of 376 patients were evaluated. Mean mobilisation recovery time was 3 days after surgery. The mean age of the patients was 53 years and 60.9% was female. The association between the primary outcome, time to onset of ambulation, and the other variables was investigated using univariate analysis. Multiple linear regression used, shows that age (B = 0.016; p = 0.029), duration of surgery (B = 0.636; p < 0.001), degree of anaesthesia risk (B = 0.629; p = 0.031) and number of stabilised levels (from 5 to 9 levels: B = 0.840; p < 0.043; more than 10 levels: B = 0.629; p = 0.057) were independent predictors of early recovery of ambulation. Increasing age, a more compromised preoperative clinical picture, a longer duration of surgery and number of stabilisation levels are factors associated with increased walking recovery time after spinal arthrodesis surgery. These factors may make it possible to identify patients at increased risk of delayed ambulation recovery and tailor the rehabilitation intervention."
"According to randomized trials, does early mobilisation reduce length of stay after spinal surgery?",4,"BackgroundThe routine use of postoperative drainage after total knee arthroplasty (TKA) remains controversial, particularly in the era of modern blood-saving strategies. While drains have traditionally been used to reduce hematoma formation, their effect on early postoperative pain has not been clearly established. This study aimed to evaluate whether postoperative drainage influences early pain outcomes following primary TKA.MethodsAn assessor-blinded randomized comparative study was conducted including 60 patients undergoing primary hybrid TKA with posterior cruciate ligament preservation. Patients were randomly allocated to a drainage or no-drainage group, with stratification by sex. All patients followed identical anesthetic, surgical, and multimodal analgesic protocols, including routine administration of tranexamic acid. Pain was assessed using the visual analogue scale (VAS) preoperatively and at 48 h postoperatively. The number of postoperative morphine rescue doses was recorded as an objective pain-related outcome. Secondary outcomes included haemoglobin level at discharge and length of hospital stay.ResultsNo significant differences were observed between the drainage and no-drainage groups regarding postoperative VAS pain scores, morphine rescue requirements, haemoglobin levels at discharge, or length of hospital stay (all "
"According to randomized trials, does early mobilisation reduce length of stay after spinal surgery?",5,"Cross-sectional survey and retrospective review of prospectively collected data. To investigate return to activities among patients with adult spinal deformity (ASD) after long-segment fusion to the pelvis. No prior studies have assessed the extent and timing of return to employment, driving, and walking among a single cohort of patients with ASD. Patients who underwent thoracolumbar ASD surgery between 2016 and 2021 with ≥ 1-year follow-up were included (posterior-only, ≥3 levels of fusion to pelvis). A cross-sectional survey was implemented to evaluate preoperative and postoperative activity tolerance. Patients were categorized into (1) better/unchanged or (2) worse groups based on their postoperative activity tolerance to allow for comparison of demographics and perioperative variables. Ninety-five patients were included [mean age: 64.3 ± 10.1 yr; body mass index (BMI): 27.3 ± 6.1 kg/m2; levels fused: 8 (range: 3-16); follow-up: 43.5 mo]. Most patients endorsed improved capacity to walk (improved: 64.2%, unchanged: 17.9%, worse: 17.9%) and navigate stairs (improved: 52.6%, unchanged: 33.7%, worse: 13.7%) postoperatively. Seventy-five (97.4%) patients returned to driving (4.1 ± 10.8 mo) and 44 (88.0%) patients returned to work (5.4 ± 8.0 mo). Patients with decreased walking tolerance were more likely to have greater lumbar lordosis correction (37.2 ± 10.5° vs. 18.6 ± 16.7°, P = 0.02) and worse Patient-Reported Outcomes Measurement Information System-Physical Function at long-term follow-up (40.2 ± 11.0 vs. 48.0 ± 9.6, P = 0.03). Patients with decreased ability to navigate stairs were more likely to have undergone revision fusion (69.2% vs. 28.0%, P = 0.003) and have greater BMI (30.7 ± 5.8 vs. 26.7 ± 6.0 kg/m2, P = 0.04). Patients requiring the use of a postoperative assistive walking device were more likely to have undergone revision fusion (66.7% vs. 27.5%, P = 0.003), exhibit greater BMI (31.4 ± 7.2 vs. 26.5 ± 5.6 kg/m2, P = 0.004), longer operative times (285.1 ± 79.9 vs. 244.5 ± 63.4 min, P = 0.03), and worse Patient-Reported Outcomes Measurement Information System-Physical Function at long-term follow-up (39.9 ± 5.1 vs. 47.7 ± 10.5, P = 0.04). Despite the reduced range of motion caused by spinopelvic fusion, a majority of patients are able to successfully return to activities of daily living after deformity surgery."
What systematic reviews compare physiotherapy vs surgery for rotator cuff tears?,1,"The aim of this study was to explore the feasibility of using a non-absorbable biocompatible polyester patch to augment open repair of massive rotator cuff tears (Patch group) and compare outcomes with other treatment options (Non-patch group). Participants referred to orthopaedic clinics for rotator cuff surgery were recruited. Choice of intervention (Patch or Non-patch) was based on patient preference and intra-operative findings. Oxford Shoulder Score (OSS), Shoulder Pain and Disability Index (SPADI), and Constant score were completed at baseline and 6 months. Shoulder MRI was performed at baseline and 6 months to assess fat fraction and Goutallier classification pre- and post- treatment. Feasibility outcomes (including retention, consent and missing data) were assessed. Sixty-eight participants (29 in the Patch group, 39 in Non-patch group) were included (mean age 65.3 years). Conversion to consent (92.6%), missing data (0% at baseline), and attrition rate (16%) were deemed successful feasibility endpoints. There was significant improvement in the Patch group compared to Non-patch at 6 months in OSS (difference in medians 9.76 (95% CI 2.25, 17.29) and SPADI: 22.97 (95% CI 3.02, 42.92), with no substantive differences in Constant score. The patch group had a higher proportion of participants improving greater than MCID for OSS (78% vs 62%) and SPADI (63% vs 50%) respectively. Analysis of the 48 paired MRIs demonstrated a slight increase in the fat fraction for supraspinatus (53 to 55%), and infraspinatus (26 to 29%) at 6 months. These differences were similar and in the same direction when the participants were analysed by treatment group. The Goutallier score remained the same or worsened one grade in both groups equally. This study indicates that a definitive clinical trial investigating the use of a non-absorbable patch to augment repair of massive rotator cuff tears is feasible. In such patients, the patch has the potential to improve shoulder symptoms at 6 months. ISRCTN, ISRCTN79844053, Registered 15th October 2014 (retrospectively registered)."
What systematic reviews compare physiotherapy vs surgery for rotator cuff tears?,2,"We compared the outcomes of patients who performed physical therapy versus those who did not in a longitudinal cohort of patients undergoing nonoperative treatment of rotator cuff tears. We also assessed whether there was a dose effect in which the pain and functional outcomes in patients performing physical therapy plateaued. From February 2011 to June 2015, a multicenter cohort of patients with rotator cuff tears undergoing nonoperative treatment completed a detailed health and demographic questionnaire and the Shoulder Pain and Disability Index (SPADI) at baseline and 3, 6, 12, and 18 months. Longitudinal mixed models were used to assess whether physical therapy in the first 3 months predicted SPADI scores and dose effect. Among the 55 patients in our cohort, the performance of physical therapy within the first 3 months predicted better SPADI scores versus nonperformance of physical therapy at 3 months (P = .02). Scores were similar between groups at 6, 12, and 18 months. A threshold of 16 physical therapy sessions was observed for pain and functional improvement during follow-up, after which significant improvement was not seen. Patients who performed physical therapy within the first 3 months had statistically significant improvements in pain and function as measured by the SPADI score at 3 months compared with patients who did not report performing physical therapy. Depending on the minimal clinically important difference used for the SPADI score, our results could be interpreted as meeting the minimal clinically important difference threshold or not. Improvement in outcomes was observed up to 16 sessions of physical therapy, after which outcomes plateaued."
What systematic reviews compare physiotherapy vs surgery for rotator cuff tears?,3,"Rotator cuff tears and long head of the biceps tendon (LHBT) injuries are primary causes of shoulder pain. During rotator cuff repair, concurrent LHBT injuries are frequently identified. Surgical management of LHBT injuries can effectively relieve pain and improve shoulder function. Two commonly used surgical approaches for LHBT repair are interference screw compression fixation and suture anchor ligation fixation. However, no definitive conclusion has been reached regarding which technique yields superior clinical outcomes. This study compared the efficacy of arthroscopic rotator cuff repair combined with different LHBT fixation techniques in treating repairable rotator cuff tears with LHBT injuries and evaluated their impact on shoulder joint function. This retrospective study analyzed clinical data from 112 patients with rotator cuff tears and LHBT injuries who underwent arthroscopic rotator cuff repair at the Department of Orthopedics of Xiaoshan Affiliated Hospital of Wenzhou Medical University. Patients were allocated into two groups based on the LHBT fixation method: interference screw tenodesis group (n = 54) and suture anchor tenodesis group (n = 58). Functional outcomes were evaluated using the Constant-Murley shoulder function score, University of California at Los Angeles (UCLA) shoulder score, and visual analogue scale (VAS) at preoperative baseline and at 3, 6, and 12 months postoperatively. The incidence of postoperative complications was also compared between the two groups. In both the interference screw tenodesis group and the suture anchor tenodesis group, VAS scores at all postoperative time points were significantly lower than preoperative values, while Constant-Murley and UCLA scores were significantly higher than baseline (all  For proximal LHBT injuries, both interference screw compression fixation and suture anchor ligation under shoulder arthroscopy can effectively restore LHBT continuity, relieve shoulder pain, and improve functional outcomes. Suture anchor ligation demonstrates superior efficacy in pain relief, particularly during early postoperative recovery. However, in terms of long-term functional improvement at 12 months, both techniques yield comparable results. Moreover, suture anchor fixation is associated with a relatively lower, although not statistically significant, rate of postoperative complications."
What systematic reviews compare physiotherapy vs surgery for rotator cuff tears?,4,"Defining a simple and reliable classification for acromial and bursal impingement lesions is necessary to standardize terminology, to improve communication, and to allow better evaluation of the proper treatment of impingement lesions and rotator cuff tears. The purpose of this study was to assess orthopedic surgeons' intraobserver and interobserver reliability of the Copeland-Levy classification. Six fellowship-trained orthopedic surgeons reviewed shoulder arthroscopy videos of 69 consecutive patients who underwent shoulder arthroscopy for rotator cuff tear repair or subacromial decompression. The surgeons were asked to classify impingement lesions according to the Copeland-Levy classification. One month afterward, the surgeons were requested to repeat the evaluation of the same impingement lesions. Intraobserver reliability was calculated using Cohen's weighted κ. Interobserver reliability was calculated using Kendall's W. Overall intraobserver reliability for acromial and bursal lesions was κ = 0.86 (95% confidence interval, 0.82-0.9) and κ = 0.97 (95% confidence interval, 0.95-0.98), respectively. Interobserver reliability for acromial and bursal lesions was W = 0.87 and W = 0.92, respectively. Intraobserver and interobserver reliability of the Copeland-Levy classification among senior orthopedic surgeons is excellent. Hence, we suggest the Copeland-Levy classification be used to standardize terminology of the subacromial impingement lesion."
What systematic reviews compare physiotherapy vs surgery for rotator cuff tears?,5,"Rotator cuff tears are very common and their incidence increases with age. Shoulder ultrasonography has recently gained popularity in detecting rotator cuff tears because of its efficiency, cost-effectiveness, time-saving, and real-time nature of the procedure. Well-trained orthopedic surgeons may utilize shoulder ultrasonography to diagnose rotator cuff tears. The wait time of patients planned to have shoulder MRI (magnetic resonance imaging) to rule in rotator cuff tears may decrease after orthopedic surgeon start doing shoulder ultrasonography as a screening tool for that. Patients with rotator cuff tears may be detected earlier by ultrasonography and have expedited surgical repair. The efficacy in determination of rotator cuff tears will also increase. Patients were retrospectively reviewed from January 2007 to December 2012. They were divided into 2 groups: Ultrasound (-) group and the Ultrasound (+) group. Age, gender, wait time from outpatient department (OPD) visit to MRI exam, MRI exam to operation (OP), and OPD visit to OP, patient number for MRI exam, and number of patients who finally had rotator cuff repair within two groups were compared. The wait time of OPD visit to OP and MRI to OP in patients who received shoulder ultrasonography was significantly less than that in patients did not receive shoulder ultrasonography screening. Only 23.8% of the patients with a suspected rotator cuff injury undergone arthroscopic rotator cuff repair before ultrasonography was applied as a screening tool. The percentage increased to 53.6% after orthopedic surgeon started using ultrasonography as a screening tool for rotator cuff tears. Office-based shoulder ultrasound examination can reduce the wait time for a shoulder MRI. The efficacy of determination of rotator cuff tears will also increase after the introduction of shoulder ultrasonography."
